Bin:all	home_number:4534017	home_cali:0.421754042828	home_model:0.412157018615	away_number:4534017	away_cali:0.467504202124	away_model:0.371831439365	end_number:4534017	end_cali:0.1104779713	end_model:0.216011542133	kld:0.042674050397	mae:0.0702677859346
Bin:period_3-scoreDifferential_-8-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:17	home_cali:0.941176470588	home_model:0.31935428565	away_number:17	away_cali:0.0	away_model:0.374724917552	end_number:17	end_cali:0.0588235294118	end_model:0.305920798551	kld:0.920264033627	mae:0.414548123876
Bin:period_3-scoreDifferential_7-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:71	home_cali:0.366197183099	home_model:0.27524552106	away_number:71	away_cali:0.0	away_model:0.464460440505	end_number:71	end_cali:0.633802816901	end_model:0.260294035077	kld:0.668589985814	mae:0.309640294789
Bin:period_2-scoreDifferential_0-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:981	home_cali:0.503567787971	home_model:0.420750976258	away_number:981	away_cali:0.487257900102	away_model:0.382483995631	end_number:981	end_cali:0.00917431192661	end_model:0.196765030303	kld:0.180323266659	mae:0.125060478187
Bin:period_2-scoreDifferential_-5-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:355	home_cali:0.0450704225352	home_model:0.42267695466	away_number:355	away_cali:0.954929577465	away_model:0.350679107126	end_number:355	end_cali:0.0	end_model:0.226643937734	kld:0.855731174889	mae:0.402833646733
Bin:period_1-scoreDifferential_0-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:6028	home_cali:0.440112806901	home_model:0.43743856276	away_number:6028	away_cali:0.556071665561	away_model:0.409639529785	end_number:6028	end_cali:0.00381552753816	end_model:0.152921907648	kld:0.158546269697	mae:0.0994042533424
Bin:period_2-scoreDifferential_-4-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:69	home_cali:0.666666666667	home_model:0.396446699574	away_number:69	away_cali:0.333333333333	away_model:0.38825459368	end_number:69	end_cali:0.0	end_model:0.215298705991	kld:0.29565960746	mae:0.180146644477
Bin:period_1-scoreDifferential_-6-zone_nz-manpowerSituation_evenStrength-home_away_1-	home_number:18	home_cali:1.0	home_model:0.439214929938	away_number:18	away_cali:0.0	away_model:0.378452753027	end_number:18	end_cali:0.0	end_model:0.182332333591	kld:0.822766391497	mae:0.373856718893
Bin:period_2-scoreDifferential_-1-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:781	home_cali:0.444302176697	home_model:0.411907421222	away_number:781	away_cali:0.535211267606	away_model:0.389167977394	end_number:781	end_cali:0.0204865556978	end_model:0.198924599342	kld:0.157612646217	mae:0.118958696443
Bin:period_2-scoreDifferential_-6-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:83	home_cali:1.0	home_model:0.383062200374	away_number:83	away_cali:0.0	away_model:0.395941303796	end_number:83	end_cali:0.0	end_model:0.220996493676	kld:0.959557895496	mae:0.411291865699
Bin:period_3-scoreDifferential_-6-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:4	home_cali:0.0	home_model:0.423409938812	away_number:4	away_cali:1.0	away_model:0.285810381174	end_number:4	end_cali:0.0	end_model:0.290779672563	kld:1.25242668641	mae:0.476126410067
Bin:period_3-scoreDifferential_-5-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:197	home_cali:0.375634517766	home_model:0.35890939151	away_number:197	away_cali:0.472081218274	away_model:0.360855133854	end_number:197	end_cali:0.147208121827	end_model:0.280235474712	kld:0.0491750050744	mae:0.0869928545204
Bin:period_2-scoreDifferential_3-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:117	home_cali:0.213675213675	home_model:0.413149871887	away_number:117	away_cali:0.726495726496	away_model:0.380565996353	end_number:117	end_cali:0.0598290598291	end_model:0.206284131887	kld:0.254790873218	mae:0.230619820137
Bin:period_3-scoreDifferential_-1-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:9243	home_cali:0.4064697609	home_model:0.387959893337	away_number:9243	away_cali:0.358433409066	away_model:0.349593319537	end_number:9243	end_cali:0.23488045007	end_model:0.262446788018	kld:0.00183041606875	mae:0.0183054316802
Bin:period_3-scoreDifferential_-3-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:4029	home_cali:0.361876396128	home_model:0.356846110701	away_number:4029	away_cali:0.3229089104	away_model:0.377468853841	end_number:4029	end_cali:0.314221891288	end_model:0.265685035255	kld:0.00737637135813	mae:0.0360423616339
Bin:period_3-scoreDifferential_-5-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:38	home_cali:0.263157894737	home_model:0.337859665877	away_number:38	away_cali:0.0789473684211	away_model:0.359806834083	end_number:38	end_cali:0.657894736842	end_model:0.302333502001	kld:0.326019311045	mae:0.237040823881
Bin:period_1-scoreDifferential_-4-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:2	home_cali:0.0	home_model:0.393714904785	away_number:2	away_cali:1.0	away_model:0.438462674618	end_number:2	end_cali:0.0	end_model:0.167822405696	kld:0.824480587012	mae:0.374358211954
Bin:period_2-scoreDifferential_1-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:781	home_cali:0.514724711908	home_model:0.414625815122	away_number:781	away_cali:0.373879641485	away_model:0.382739678569	end_number:781	end_cali:0.111395646607	end_model:0.202634506199	kld:0.0359057366212	mae:0.0667325978208
Bin:period_2-scoreDifferential_0-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:5744	home_cali:0.456824512535	home_model:0.438872649238	away_number:5744	away_cali:0.509575208914	away_model:0.360161021087	end_number:5744	end_cali:0.0336002785515	end_model:0.200966329864	kld:0.135052523265	mae:0.111577367478
Bin:period_1-scoreDifferential_-2-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:1118	home_cali:0.580500894454	home_model:0.439006835249	away_number:1118	away_cali:0.419499105546	away_model:0.398196984169	end_number:1118	end_cali:0.0	end_model:0.162796181768	kld:0.18404024207	mae:0.10853078745
Bin:period_1-scoreDifferential_-2-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:66	home_cali:0.424242424242	home_model:0.44745908813	away_number:66	away_cali:0.575757575758	away_model:0.394006189072	end_number:66	end_cali:0.0	end_model:0.158534729571	kld:0.195792743922	mae:0.121167593382
Bin:period_1-scoreDifferential_4-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:303	home_cali:0.138613861386	home_model:0.447394431424	away_number:303	away_cali:0.861386138614	away_model:0.3830067418	end_number:303	end_cali:0.0	end_model:0.169598826087	kld:0.535724512704	mae:0.318919597646
Bin:period_1-scoreDifferential_1-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:450	home_cali:0.413333333333	home_model:0.443892251717	away_number:450	away_cali:0.568888888889	away_model:0.404621992401	end_number:450	end_cali:0.0177777777778	end_model:0.151485755384	kld:0.126266900198	mae:0.109511264159
Bin:period_3-scoreDifferential_-7-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:215	home_cali:0.897674418605	home_model:0.386913964637	away_number:215	away_cali:0.0	away_model:0.31979267417	end_number:215	end_cali:0.0976744186047	end_model:0.293293360777	kld:0.648091043047	mae:0.34205735677
