Bin:all	home_number:4532064	home_cali:0.42193578908	home_model:0.420020000453	away_number:4532064	away_cali:0.467705663468	away_model:0.375441804343	end_number:4532064	end_cali:0.110112081383	end_model:0.204538195013	kld:0.0365042179127	mae:0.0628685871273
Bin:period_3-scoreDifferential_-8-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:17	home_cali:0.941176470588	home_model:0.331421943491	away_number:17	away_cali:0.0	away_model:0.376919830547	end_number:17	end_cali:0.0588235294118	end_model:0.291658233194	kld:0.888163097046	mae:0.406503020475
Bin:period_3-scoreDifferential_7-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:71	home_cali:0.366197183099	home_model:0.266786715094	away_number:71	away_cali:0.0	away_model:0.477725397953	end_number:71	end_cali:0.633802816901	end_model:0.255487893039	kld:0.691832561401	mae:0.318483596606
Bin:period_2-scoreDifferential_0-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:981	home_cali:0.503567787971	home_model:0.425317486741	away_number:981	away_cali:0.487257900102	away_model:0.390381897542	end_number:981	end_cali:0.00917431192661	end_model:0.184300616026	kld:0.165528851882	mae:0.116750869296
Bin:period_2-scoreDifferential_-5-zone_oz-manpowerSituation_evenStrength-home_away_0-	home_number:355	home_cali:0.0450704225352	home_model:0.421424539891	away_number:355	away_cali:0.954929577465	away_model:0.363734335883	end_number:355	end_cali:0.0	end_model:0.214841124772	kld:0.820960167087	mae:0.394130161236
Bin:period_1-scoreDifferential_0-zone_nz-manpowerSituation_powerPlay-home_away_0-	home_number:6028	home_cali:0.440112806901	home_model:0.454989611692	away_number:6028	away_cali:0.556071665561	away_model:0.406534882961	end_number:6028	end_cali:0.00381552753816	end_model:0.138475504449	kld:0.145842105156	mae:0.0996911881005
Bin:period_2-scoreDifferential_-4-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:69	home_cali:0.666666666667	home_model:0.400920887086	away_number:69	away_cali:0.333333333333	away_model:0.397185909143	end_number:69	end_cali:0.0	end_model:0.201893193492	kld:0.280596877317	mae:0.177163849628
Bin:period_1-scoreDifferential_-6-zone_nz-manpowerSituation_evenStrength-home_away_1-	home_number:18	home_cali:1.0	home_model:0.439772758219	away_number:18	away_cali:0.0	away_model:0.391801729798	end_number:18	end_cali:0.0	end_model:0.168425518605	kld:0.821497139695	mae:0.373484830062
Bin:period_2-scoreDifferential_-1-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:781	home_cali:0.444302176697	home_model:0.418266166874	away_number:781	away_cali:0.535211267606	away_model:0.395947725916	end_number:781	end_cali:0.0204865556978	end_model:0.185786108163	kld:0.142962354558	mae:0.110199701326
Bin:period_2-scoreDifferential_-6-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:83	home_cali:1.0	home_model:0.377557446081	away_number:83	away_cali:0.0	away_model:0.41317819795	end_number:83	end_cali:0.0	end_model:0.209264354533	kld:0.974032542395	mae:0.414961702134
Bin:period_3-scoreDifferential_-6-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:4	home_cali:0.0	home_model:0.432727903128	away_number:4	away_cali:1.0	away_model:0.286838665605	end_number:4	end_cali:0.0	end_model:0.280433408916	kld:1.24883535752	mae:0.475440882146
Bin:period_3-scoreDifferential_-5-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:197	home_cali:0.375634517766	home_model:0.359899720111	away_number:197	away_cali:0.472081218274	away_model:0.364942404824	end_number:197	end_cali:0.147208121827	end_model:0.275157874006	kld:0.0455146544645	mae:0.0836077877612
Bin:period_2-scoreDifferential_3-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:117	home_cali:0.213675213675	home_model:0.420482479354	away_number:117	away_cali:0.726495726496	away_model:0.386608186441	end_number:117	end_cali:0.0598290598291	end_model:0.192909338408	kld:0.243598547346	mae:0.226591694771
Bin:period_3-scoreDifferential_-1-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:9243	home_cali:0.4064697609	home_model:0.389812506779	away_number:9243	away_cali:0.358433409066	away_model:0.355239516158	end_number:9243	end_cali:0.23488045007	end_model:0.254947976212	kld:0.000960224466965	mae:0.0133062243901
Bin:period_3-scoreDifferential_-3-zone_oz-manpowerSituation_powerPlay-home_away_1-	home_number:4029	home_cali:0.361876396128	home_model:0.360136632793	away_number:4029	away_cali:0.3229089104	away_model:0.381323249589	end_number:4029	end_cali:0.314221891288	end_model:0.258540117045	kld:0.00934009571393	mae:0.0386119589225
Bin:period_3-scoreDifferential_-5-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:38	home_cali:0.263157894737	home_model:0.328576904378	away_number:38	away_cali:0.0789473684211	away_model:0.377164584241	end_number:38	end_cali:0.657894736842	end_model:0.294258519615	kld:0.347441797696	mae:0.242424147563
Bin:period_1-scoreDifferential_-4-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:2	home_cali:0.0	home_model:0.395137801766	away_number:2	away_cali:1.0	away_model:0.451329320669	end_number:2	end_cali:0.0	end_model:0.153532899916	kld:0.795558000539	mae:0.365780460338
Bin:period_2-scoreDifferential_1-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:781	home_cali:0.514724711908	home_model:0.420328831455	away_number:781	away_cali:0.373879641485	away_model:0.390331758298	end_number:781	end_cali:0.111395646607	end_model:0.189339410221	kld:0.0290900196193	mae:0.0629305869601
Bin:period_2-scoreDifferential_0-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:5744	home_cali:0.456824512535	home_model:0.44708910434	away_number:5744	away_cali:0.509575208914	away_model:0.365348650469	end_number:5744	end_cali:0.0336002785515	end_model:0.187562245383	kld:0.121610985427	mae:0.102641311157
Bin:period_1-scoreDifferential_-2-zone_dz-manpowerSituation_powerPlay-home_away_1-	home_number:1118	home_cali:0.580500894454	home_model:0.452330889903	away_number:1118	away_cali:0.419499105546	away_model:0.398758251093	end_number:1118	end_cali:0.0	end_model:0.14891085861	kld:0.166092977399	mae:0.0992739058711
Bin:period_1-scoreDifferential_-2-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:66	home_cali:0.424242424242	home_model:0.459817393711	away_number:66	away_cali:0.575757575758	away_model:0.39445201601	end_number:66	end_cali:0.0	end_model:0.145730585537	kld:0.183583428828	mae:0.120870371584
Bin:period_1-scoreDifferential_4-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:303	home_cali:0.138613861386	home_model:0.45397696676	away_number:303	away_cali:0.861386138614	away_model:0.388977875706	end_number:303	end_cali:0.0	end_model:0.157045158813	kld:0.520374401635	mae:0.314938842365
Bin:period_1-scoreDifferential_1-zone_oz-manpowerSituation_shortHanded-home_away_1-	home_number:450	home_cali:0.413333333333	home_model:0.454427495218	away_number:450	away_cali:0.568888888889	away_model:0.407622834895	end_number:450	end_cali:0.0177777777778	end_model:0.137949666461	kld:0.114032043082	mae:0.10751070152
Bin:period_3-scoreDifferential_-7-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:215	home_cali:0.897674418605	home_model:0.400965827981	away_number:215	away_cali:0.0	away_model:0.315602112371	end_number:215	end_cali:0.0976744186047	end_model:0.283432059302	kld:0.619408091251	mae:0.332689447897
Bin:period_3-scoreDifferential_3-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:8131	home_cali:0.439429344484	home_model:0.367809504069	away_number:8131	away_cali:0.140819087443	away_model:0.359246524794	end_number:8131	end_cali:0.418767679252	end_model:0.272943971045	kld:0.125551364173	mae:0.145290328658
Bin:period_2-scoreDifferential_5-zone_nz-manpowerSituation_evenStrength-home_away_0-	home_number:758	home_cali:0.484168865435	home_model:0.420494208904	away_number:758	away_cali:0.473614775726	away_model:0.366131307503	end_number:758	end_cali:0.0422163588391	end_model:0.213374483485	kld:0.121778113435	mae:0.114105416467
Bin:period_2-scoreDifferential_-1-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:52092	home_cali:0.427090532135	home_model:0.421744610997	away_number:52092	away_cali:0.525416570683	away_model:0.382992654768	end_number:52092	end_cali:0.0474928971819	end_model:0.195262733972	kld:0.104359727084	mae:0.0985132246142
Bin:period_3-scoreDifferential_4-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:4514	home_cali:0.206911829863	home_model:0.364167256239	away_number:4514	away_cali:0.213336287107	away_model:0.361069227818	end_number:4514	end_cali:0.579530350022	end_model:0.274763515321	kld:0.203278655026	mae:0.20325173393
Bin:period_1-scoreDifferential_-4-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:292	home_cali:0.119863013699	home_model:0.463553440795	away_number:292	away_cali:0.880136986301	away_model:0.376544438711	end_number:292	end_cali:0.0	end_model:0.159902119626	kld:0.585149443458	mae:0.335728364771
Bin:period_3-scoreDifferential_5-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:801	home_cali:0.0973782771536	home_model:0.35658295198	away_number:801	away_cali:0.401997503121	away_model:0.38100966456	end_number:801	end_cali:0.500624219725	end_model:0.262407382198	kld:0.218544094218	mae:0.172803116972
